"Designator","Layer","Center-X","Center-Y","Rotation","Footprint","Mount","State","Partnumber"
"DD1","Top","-8.2872","-34.735","270.0","SOT-23-5","SMD","ON","SN74LVC1G126DBV"
"DD2","Top","84.9484","-17.6749","0.0","SO-8","SMD","ON","SCM3725ASA"
"DD3","Top","-54.3504","-60.6748","0.0","4-SMD_3225-1.20","SMD","ON","ECS-3225MV-250-CN"
"EF1","Top","-64.4495","-22.5749","0.0","SMTSO-M2-2","SMD","ON","SMTSO-M2-2ET"
"ER1","Top","9.0","-55.0","0.0","FK244-13-D2PAK","SMD","ON","FK 244 13 D2 PAK"
"FD1","Top","-125.0","60.0","0.0","FIDUCIAL","UNDEFINED","ON",""
"FD2","Top","-125.0","-60.0","0.0","FIDUCIAL","UNDEFINED","ON",""
"FD3","Top","125.0","-60.0","0.0","FIDUCIAL","UNDEFINED","ON",""
"FD4","Top","125.0","60.0","0.0","FIDUCIAL","UNDEFINED","ON",""
"FD5","Bottom","-125.0","60.0","180.0","FIDUCIAL","UNDEFINED","ON",""
"FD6","Bottom","-125.0","-60.0","180.0","FIDUCIAL","UNDEFINED","ON",""
"FD7","Bottom","125.0","-60.0","180.0","FIDUCIAL","UNDEFINED","ON",""
"FD8","Bottom","125.0","60.0","180.0","FIDUCIAL","UNDEFINED","ON",""
"FP1","Top","5.8177","-28.4016","0.0","MF-MSMF-S1","SMD","ON","MF-MSMF014"
"FU1","Top","-48.73","-48.85","90.0","FUC_2410","SMD","ON","0451001."
"FV1","Top","-42.1047","-48.275","0.0","SMA","SMD","ON","SMAJ5.0A"
"FV2","Top","-61.5056","-47.3499","270.0","SMB","SMD","ON","SMBJ6.5CA"
"FV3","Top","13.7931","-29.4766","0.0","VC_2220","SMD","ON","B72540T0400K062"
"FV4","Top","-20.4388","-35.3334","270.0","SOT-23","SMD","ON","GSOT05C-E3-08"
"FV5","Top","97.674","-16.6248","270.0","SOT-23","SMD","ON","CDSOT23-T24CAN"
"HL1","Top","-34.0","14.0","0.0","LED_0603","SMD","ON","KP-1608F3C"
"HL2","Top","-29.0","36.0","0.0","LED_0603","SMD","ON","KPT-1608SURCK"
"HL3","Top","-32.2744","22.9512","0.0","LEDC_3020R-1.00","SMD","ON","KPA-3010CGCK"
"HL4","Top","-57.0","27.0","0.0","LED_0603","SMD","ON","KPT-1608QBC-D"
"HL5","Top","-64.0","37.0","0.0","LED_0603","SMD","ON","KPT-1608SYCK"
"HL6","Top","-56.0","35.0","0.0","XP-C","SMD","ON","XPCWHT-L1-0000-008E5"
"HL7","Top","-47.0","36.0","0.0","PLCC-6","SMD","ON","19-337C/RSBHGHC-A88/4T"
"HL8","Top","-62.919","1.9386","0.0","KPBDA-3020","SMD","ON","KPBDA-3020SURKCGKC-PF"
"J1","Top","-22.892","4.4262","270.0","RES0402","SMD","ON","$JEC-0402"
"L1","Top","-35.0","-33.0","270.0","IND1812","SMD","ON","$LSC-1812-10µH±10%-250mA"
"L2","Top","-48.0","-32.0","90.0","SRU1048","SMD","ON","SRU1048-470Y [$LPS-10×10×5.1-47µH±30%-1.5A]"
"L3","Top","-2.1","-6.6","270.0","IND1812","SMD","ON","$LSC-1812-10µH±10%-250mA"
"L4","Top","24.025","-6.0","270.0","IND1812","SMD","ON","$LSC-1812-10µH±10%-250mA"
"L5","Top","23.75","4.0","270.0","IND1812","SMD","ON","$LSC-1812-10µH±10%-250mA"
"L6","Bottom","22.0","0.0","180.0","SRU1048","SMD","ON","SRU1048-470Y [$LPS-10×10×5.1-47µH±30%-1.5A]"
"L8","Bottom","4.0","1.0","180.0","SRU1048","SMD","ON","SRU1048-470Y [$LPS-10×10×5.1-47µH±30%-1.5A]"
"L9","Bottom","-6.401","-41.0","180.0","SRN6045TA","SMD","ON","SRN6045TA-2R2Y [$LPS-6×6×4.5-2.2µH±30%-6A]"
"L10","Bottom","14.075","-41.0","180.0","SRN6045TA","SMD","ON","SRN6045TA-2R2Y [$LPS-6×6×4.5-2.2µH±30%-6A]"
"L12","Bottom","9.9282","-53.7585","180.0","SRN6045TA","SMD","ON","SRN6045TA-2R2Y [$LPS-6×6×4.5-2.2µH±30%-6A]"
"R1","Top","-37.0044","-45.7998","270.0","RES0603","SMD","ON","$RTC-0603-10kOhm±5%"
"R2","Top","103.1743","-15.3998","270.0","RES0603","SMD","ON","$RTC-0603-47kOhm±0.5%-±25ppm/°C"
"R3","Top","-22.7489","-59.9748","270.0","RES0805","SMD","ON","RV0805JR-071ML [$RTC-0805-400V-1MOhm±5%]"
"R4","Top","-40.7747","-59.5998","270.0","RES0402","SMD","ON","$JEC-0402"
"R5","Top","-12.2255","-5.2999","270.0","RES0603","SMD","ON","$RTC-0603-100kOhm±5%"
"R7","Top","12.8495","5.3001","270.0","RES0603","SMD","ON","$RTC-0603-100kOhm±5%"
"R8","Top","-1.0","-16.25","270.0","RES0603","SMD","ON","$RTC-0603-200kOhm±5%"
"R9","Bottom","-27.0","-40.0","135.0","RES0603","SMD","ON","$RTC-0603-200kOhm±5%"
"R10","Bottom","-13.0763","-39.2249","0.0","RES0603","SMD","ON","$RTC-0603-300kOhm±5%"
"R11","Bottom","7.7997","-38.4499","90.0","RES0603","SMD","ON","$RTC-0603-300kOhm±5%"
"R13","Bottom","3.2529","-51.9834","0.0","RES0603","SMD","ON","$RTC-0603-300kOhm±5%"
"R14","Bottom","25.404","-51.9834","0.0","RES0603","SMD","ON","$RTC-0603-470kOhm±5%"
"R15A","Bottom","-102.4919","11.2668","0.0","RES0603","SMD","ON","$RTC-0603-1kOhm±1%"
"R15B","Bottom","-102.4919","18.3172","0.0","RES0603","SMD","ON","$RTC-0603-2kOhm±1%"
"R15C","Bottom","-102.4919","25.3925","0.0","RES0603","SMD","ON","$RTC-0603-3kOhm±1%"
"R15D","Bottom","-102.4919","32.4678","0.0","RES0603","SMD","ON","$RTC-0603-4.3kOhm±1%"
"R15E","Bottom","-102.4919","39.5432","0.0","RES0603","SMD","ON","$RTC-0603-5.1kOhm±1%"
"R15F","Bottom","-102.4919","46.6185","0.0","RES0603","SMD","ON","$RTC-0603-6.2kOhm±1%"
"R15G","Bottom","-102.4919","53.6689","0.0","RES0603","SMD","ON","$RTC-0603-7.5kOhm±1%"
"R16A","Bottom","-110.7673","11.2668","0.0","RES0603","SMD","ON","$RTC-0603-1kOhm±1%"
"R16B","Bottom","-110.7673","18.3172","0.0","RES0603","SMD","ON","$RTC-0603-2kOhm±1%"
"R16C","Bottom","-110.7673","25.3925","0.0","RES0603","SMD","ON","$RTC-0603-3kOhm±1%"
"R16D","Bottom","-110.7673","32.4678","0.0","RES0603","SMD","ON","$RTC-0603-4.3kOhm±1%"
"R16E","Bottom","-110.7673","39.5432","0.0","RES0603","SMD","ON","$RTC-0603-5.1kOhm±1%"
"R16F","Bottom","-110.7673","46.6185","0.0","RES0603","SMD","ON","$RTC-0603-6.2kOhm±1%"
"R16G","Bottom","-110.7673","53.6689","0.0","RES0603","SMD","ON","$RTC-0603-7.5kOhm±1%"
"R17A","Bottom","-119.0427","11.2668","0.0","RES0603","SMD","ON","$RTC-0603-1kOhm±1%"
"R17B","Bottom","-119.0427","18.3172","0.0","RES0603","SMD","ON","$RTC-0603-2kOhm±1%"
"R17C","Bottom","-119.0427","25.3925","0.0","RES0603","SMD","ON","$RTC-0603-3kOhm±1%"
"R17D","Bottom","-119.0427","32.4678","0.0","RES0603","SMD","ON","$RTC-0603-4.3kOhm±1%"
"R17E","Bottom","-119.0427","39.5432","0.0","RES0603","SMD","ON","$RTC-0603-5.1kOhm±1%"
"R17F","Bottom","-119.0427","46.6185","0.0","RES0603","SMD","ON","$RTC-0603-6.2kOhm±1%"
"R17G","Bottom","-119.0427","53.6689","0.0","RES0603","SMD","ON","$RTC-0603-7.5kOhm±1%"
"R18A","Bottom","-76.4156","-45.311","0.0","RES0603","SMD","ON","$RTC-0603-1kOhm±1%"
"R18B","Bottom","-76.4156","-38.2356","0.0","RES0603","SMD","ON","$RTC-0603-2kOhm±1%"
"R18C","Bottom","-76.4156","-31.1603","0.0","RES0603","SMD","ON","$RTC-0603-3kOhm±1%"
"R18D","Bottom","-76.4156","-24.0849","0.0","RES0603","SMD","ON","$RTC-0603-4.3kOhm±1%"
"R18E","Bottom","-76.4156","-17.0346","0.0","RES0603","SMD","ON","$RTC-0603-5.1kOhm±1%"
